ID_Cliente,Segmento,Regiao,Data_Abertura_Conta
1001,Varejo,DF,2025-11-17
1002,Corporate,DF,2025-12-08
1003,Alta Renda,SP - Capital,2025-05-25
1004,Varejo,RJ,2025-11-23
1005,Varejo,SP - Interior,2025-08-05
1006,Varejo,SP - Capital,2025-10-28
1007,Varejo,SP - Interior,2025-05-12
1008,Alta Renda,SP - Interior,2025-10-19
1009,Alta Renda,RJ,2025-03-11
1010,Alta Renda,SP - Interior,2025-09-09
1011,Varejo,SP - Interior,2025-10-02
1012,Corporate,RJ,2025-12-30
1013,Alta Renda,SP - Interior,2025-07-01
1014,Varejo,SP - Interior,2025-06-16
1015,Varejo,SP - Interior,2025-04-01
1016,Varejo,SP - Capital,2025-07-21
1017,Varejo,SP - Capital,2025-12-12
1018,Varejo,SP - Capital,2025-01-19
1019,Varejo,RJ,2025-02-08
1020,Varejo,DF,2025-05-06
1021,Alta Renda,SP - Interior,2025-06-22
1022,Varejo,SP - Interior,2025-05-21
1023,Varejo,RJ,2025-08-30
1024,Varejo,SP - Interior,2025-08-08
1025,Varejo,SP - Capital,2025-05-06
1026,Alta Renda,DF,2025-02-27
1027,Varejo,MG,2025-05-28
1028,Varejo,SP - Interior,2025-11-13
1029,Varejo,SP - Capital,2025-12-27
1030,Varejo,MG,2025-01-01
1031,Alta Renda,DF,2025-12-14
1032,Varejo,MG,2025-07-09
1033,Varejo,SP - Capital,2025-07-10
1034,Corporate,MG,2025-11-08
1035,Corporate,RJ,2025-04-27
1036,Alta Renda,MG,2025-05-14
1037,Varejo,SP - Interior,2025-02-27
1038,Varejo,SP - Interior,2025-02-13
1039,Alta Renda,RJ,2025-06-22
1040,Varejo,SP - Capital,2025-06-09
1041,Varejo,SP - Interior,2025-06-22
1042,Varejo,DF,2025-11-13
1043,Varejo,SP - Interior,2025-10-30
1044,Corporate,SP - Interior,2025-05-29
1045,Varejo,SP - Capital,2025-03-21
1046,Alta Renda,MG,2025-08-01
1047,Varejo,SP - Interior,2025-07-22
1048,Varejo,RJ,2025-09-09
1049,Varejo,MG,2025-08-17
1050,Varejo,DF,2025-06-13
1051,Corporate,SP - Capital,2025-08-15
1052,Alta Renda,DF,2025-05-27
1053,Corporate,MG,2025-01-20
1054,Alta Renda,MG,2025-02-16
1055,Varejo,MG,2025-08-21
1056,Corporate,DF,2025-11-01
1057,Varejo,MG,2025-01-14
1058,Varejo,DF,2025-05-23
1059,Varejo,MG,2025-01-01
1060,Varejo,RJ,2025-02-23
1061,Varejo,MG,2025-09-16
1062,Varejo,DF,2025-05-24
1063,Alta Renda,SP - Interior,2025-01-12
1064,Varejo,MG,2025-11-26
1065,Varejo,SP - Interior,2025-08-12
1066,Varejo,RJ,2025-09-29
1067,Varejo,SP - Capital,2025-12-24
1068,Alta Renda,RJ,2025-06-05
1069,Varejo,MG,2025-01-08
1070,Corporate,SP - Interior,2025-05-02
1071,Alta Renda,SP - Interior,2025-12-14
1072,Varejo,DF,2025-06-13
