ID_Imovel;Area_m2;Preco_Venda_R$;Score_Prospeccao;Cluster_ID;Segmento_Imovel
IMOB-80001;99,9;686873,08;51,96;1;Potencial Alto Padrao
IMOB-80002;80,85;795060,09;57,73;1;Potencial Alto Padrao
IMOB-80003;104,43;1025531,94;44,82;0;Oportunidades Economicas
IMOB-80004;130,69;1221552,88;64,21;0;Oportunidades Economicas
IMOB-80005;77,98;753530,13;28,57;1;Potencial Alto Padrao
IMOB-80006;77,98;682783,94;47,46;1;Potencial Alto Padrao
IMOB-80007;132,38;928063,61;95,46;0;Oportunidades Economicas
IMOB-80008;108,02;818185,53;36,43;1;Potencial Alto Padrao
IMOB-80009;70,92;467305,58;69,51;2;Eficiencia / Investimento Rapido
IMOB-80010;101,28;1109052,21;41,99;0;Oportunidades Economicas
IMOB-80011;71,1;639902,16;79,2;2;Eficiencia / Investimento Rapido
IMOB-80012;71,03;561484,9;25,86;1;Potencial Alto Padrao
IMOB-80013;92,26;763168,57;95,5;2;Eficiencia / Investimento Rapido
IMOB-80014;40,0;447348,0;52,66;2;Eficiencia / Investimento Rapido
IMOB-80015;40,0;256804,34;34,59;1;Potencial Alto Padrao
IMOB-80016;68,13;614366,42;21,1;1;Potencial Alto Padrao
IMOB-80017;54,62;466157,73;29,09;1;Potencial Alto Padrao
IMOB-80018;94,43;865779,09;58,14;0;Oportunidades Economicas
IMOB-80019;57,76;323952,21;42,97;1;Potencial Alto Padrao
IMOB-80020;42,63;457546,39;83,8;2;Eficiencia / Investimento Rapido
IMOB-80021;128,97;1430620,81;50,76;0;Oportunidades Economicas
IMOB-80022;78,23;695497,97;35,64;1;Potencial Alto Padrao
IMOB-80023;87,03;842401,92;66,22;0;Oportunidades Economicas
IMOB-80024;42,26;466311,96;73,66;2;Eficiencia / Investimento Rapido
IMOB-80025;68,67;669067,02;28,86;1;Potencial Alto Padrao
IMOB-80026;88,33;566642,74;28,91;1;Potencial Alto Padrao
IMOB-80027;50,47;452098,37;18,04;1;Potencial Alto Padrao
IMOB-80028;96,27;879944,34;76,12;0;Oportunidades Economicas
