ID_Incidente;ID_Sistema;Data_Ocorrencia;Downtime_Minutos;Causa_Raiz
INC-10001;502;2026-04-13;16;Lock de Tabelas
INC-10002;501;2026-04-17;2;Instabilidade de API
INC-10003;501;2026-03-13;16;Falha de Autenticacao
INC-10004;501;2026-07-08;3;Instabilidade de API
INC-10005;501;2026-01-21;3;Instabilidade de API
INC-10006;504;2026-04-13;27;Erro de Deploy
INC-10007;503;2026-05-02;5;Manutencao Emergencial
INC-10008;501;2026-08-03;4;Instabilidade de API
INC-10009;504;2026-03-29;19;Erro de Deploy
INC-10010;503;2026-04-10;13;Erro de Deploy
INC-10011;502;2026-06-01;15;Overload de CPU
INC-10012;502;2026-05-11;5;Lock de Tabelas
INC-10013;501;2026-05-30;6;Estouro de Timeout
INC-10014;501;2026-09-15;22;Instabilidade de API
INC-10015;502;2026-07-11;15;Overload de CPU
INC-10016;502;2026-06-10;20;Lock de Tabelas
INC-10017;501;2026-01-22;6;Instabilidade de API
INC-10018;504;2026-09-10;28;Erro de Deploy
INC-10019;503;2026-08-24;11;Timeout de Rede
INC-10020;501;2026-02-18;2;Instabilidade de API
INC-10021;504;2026-02-28;33;Manutencao Emergencial
INC-10022;504;2026-06-19;26;Timeout de Rede
INC-10023;504;2026-07-07;32;Timeout de Rede
INC-10024;501;2026-07-09;10;Instabilidade de API
INC-10025;503;2026-06-24;24;Erro de Deploy
INC-10026;502;2026-02-20;9;Lock de Tabelas
INC-10027;503;2026-02-24;32;Manutencao Emergencial
INC-10028;504;2026-09-01;44;Erro de Deploy
INC-10029;503;2026-05-11;11;Erro de Deploy
INC-10030;503;2026-05-15;36;Erro de Deploy
INC-10031;504;2026-01-21;34;Manutencao Emergencial
INC-10032;503;2026-06-16;23;Timeout de Rede
INC-10033;502;2026-03-30;10;Lock de Tabelas
INC-10034;501;2026-01-14;2;Instabilidade de API
INC-10035;501;2026-08-30;8;Instabilidade de API
INC-10036;504;2026-02-22;18;Manutencao Emergencial
INC-10037;501;2026-04-02;6;Estouro de Timeout
INC-10038;502;2026-02-04;19;Lock de Tabelas
INC-10039;501;2026-07-25;8;Instabilidade de API
INC-10040;502;2026-03-22;10;Overload de CPU
INC-10041;504;2026-02-19;43;Manutencao Emergencial
INC-10042;504;2026-01-02;36;Timeout de Rede
INC-10043;501;2026-02-23;4;Estouro de Timeout
INC-10044;504;2026-04-16;37;Manutencao Emergencial
INC-10045;502;2026-09-17;101;Overload de CPU
INC-10046;501;2026-07-10;18;Instabilidade de API
INC-10047;503;2026-08-06;7;Manutencao Emergencial
