ID_Transacao,ID_Cliente,ID_Produto,Data,Valor_Transacao,Status_Pagamento,Dias_Atraso,Rating_Risco
500001,1089,103,2025-02-17,26073.49,Liquidado,0,A
500002,1072,101,2025-03-02,2069.25,Liquidado,0,D
500003,1247,103,2025-12-03,13993.79,Em Dia,0,A
500004,1129,102,2025-01-26,40070.95,Liquidado,0,A
500005,1212,102,2025-10-19,35038.49,Em Dia,0,A
500006,1172,101,2025-09-14,6169.69,Liquidado,0,D
500007,1087,101,2025-01-08,2945.5,Em Dia,0,C
500008,1096,101,2025-04-23,21977.86,Liquidado,0,D
500009,1075,104,2025-12-21,20841.48,Liquidado,0,B
500010,1167,103,2025-09-10,15348.42,Em Dia,0,B
500011,1239,102,2025-06-29,34883.24,Liquidado,0,A
500012,1054,101,2025-07-26,4545.31,Em Dia,0,D
500013,1088,104,2025-10-30,380723.09,Em Dia,0,C
500014,1203,101,2025-05-07,1592.79,Liquidado,0,C
500015,1157,101,2025-02-25,3825.68,Liquidado,0,C
500016,1054,102,2025-08-02,45761.25,Em Atraso,10,A
500017,1218,104,2025-01-14,52587.89,Liquidado,0,B
500018,1016,101,2025-01-28,3423.47,Liquidado,0,B
500019,1099,101,2025-03-19,19503.56,Em Dia,0,D
500020,1020,104,2025-08-04,34920.91,Em Dia,0,D
500021,1046,101,2025-12-31,6390.3,Liquidado,0,B
500022,1195,101,2025-06-03,10363.0,Em Dia,0,C
500023,1193,102,2025-01-14,43660.13,Liquidado,0,A
500024,1127,103,2025-07-06,12137.41,Em Dia,0,A
500025,1058,102,2025-11-08,64361.3,Em Dia,0,B
500026,1181,104,2025-01-07,132426.61,Em Dia,0,B
500027,1111,103,2025-01-03,19140.51,Em Dia,0,A
500028,1129,101,2025-04-21,9476.45,Liquidado,0,B
500029,1081,104,2025-08-26,242624.9,Liquidado,0,C
500030,1194,102,2025-12-29,37902.32,Em Dia,0,A
500031,1157,101,2025-08-27,13012.98,Em Dia,0,B
500032,1084,102,2025-10-01,44452.23,Em Dia,0,A
500033,1070,101,2025-10-21,2109.58,Em Dia,0,D
500034,1008,101,2025-08-15,36014.55,Em Dia,0,D
500035,1029,101,2025-01-15,11229.12,Em Dia,0,C
500036,1112,102,2025-07-11,42050.07,Liquidado,0,A
500037,1179,103,2025-04-29,10482.26,Em Dia,0,A
500038,1161,102,2025-01-28,80073.17,Em Dia,0,A
500039,1131,104,2025-07-21,24656.8,Em Atraso,67,F
500040,1188,101,2025-02-08,2697.95,Em Dia,0,D
500041,1163,101,2025-09-30,8087.02,Liquidado,0,C
500042,1197,101,2025-08-19,4796.13,Em Dia,0,B
500043,1219,101,2025-03-27,8096.76,Liquidado,0,E
500044,1108,101,2025-05-06,9280.11,Em Atraso,83,E
500045,1204,103,2025-10-27,20327.14,Em Dia,0,B
500046,1212,104,2025-01-25,209012.21,Em Dia,0,C
500047,1109,104,2025-05-25,114628.07,Liquidado,0,B
500048,1020,101,2025-01-13,1839.51,Liquidado,0,D
500049,1073,103,2025-07-31,16902.2,Liquidado,0,A
500050,1167,101,2025-01-25,7019.69,Em Dia,0,B
500051,1004,101,2025-03-09,1632.76,Em Atraso,84,D
500052,1243,103,2025-03-08,17127.19,Em Dia,0,A
500053,1246,103,2025-08-21,7879.16,Liquidado,0,A
500054,1019,101,2025-04-19,4457.86,Liquidado,0,B
500055,1102,102,2025-05-26,39152.47,Em Dia,0,A
500056,1219,101,2025-04-21,6715.53,Em Dia,0,C
500057,1173,103,2025-08-16,16466.42,Em Dia,0,B
500058,1171,102,2025-04-21,10388.22,Em Dia,0,A
500059,1141,104,2025-02-03,158689.22,Em Dia,0,B
500060,1141,101,2025-04-21,13321.52,Em Atraso,107,E
500061,1188,101,2025-09-21,5186.01,Em Dia,0,B
500062,1185,102,2025-08-24,37502.08,Liquidado,0,A
500063,1086,102,2025-03-24,44782.28,Em Dia,0,A
500064,1220,101,2025-02-11,5502.25,Em Dia,0,C
500065,1052,103,2025-04-11,21662.74,Em Dia,0,B
500066,1111,103,2025-01-06,6797.76,Em Dia,0,B
500067,1181,104,2025-06-29,202805.15,Em Atraso,135,E
500068,1109,103,2025-10-09,10923.14,Liquidado,0,A
500069,1086,103,2025-11-16,12974.67,Em Dia,0,A
500070,1043,102,2025-08-14,64934.23,Em Atraso,43,A
500071,1211,103,2025-11-11,15431.04,Em Dia,0,B
500072,1200,101,2025-12-31,6673.22,Em Dia,0,E
500073,1244,101,2025-08-17,13256.28,Em Atraso,146,E
500074,1200,101,2025-10-16,5447.23,Em Dia,0,D
